date,open,high,low,close,vol
1988-07-11,702.89,702.89,696.11,696.11,"4,676,000"
1988-07-09,702.32,703.42,701.94,702.52,"4,578,000"
1988-07-08,701.41,702.17,698.76,702.17,"7,029,000"
1988-07-07,706.95,706.95,701.05,701.41,"6,714,000"
1988-07-06,703.5,707.95,703.5,707.02,"9,353,000"
1988-07-05,701.13,703.15,696.23,703.15,"7,228,000"
1988-07-04,708.02,708.02,701.25,701.4,"5,883,000"
1988-07-02,706.36,708.34,706.36,708.34,"6,242,000"
1988-07-01,703.02,706.3,703.02,706.3,"7,590,000"
1988-06-30,700.4,705.72,700.4,702.83,"8,361,000"
1988-06-29,685.69,700.05,685.69,700.05,"7,061,000"
1988-06-28,685.64,685.64,682.81,685.5,"7,504,000"
1988-06-27,683.61,687.32,683.61,685.87,"6,455,000"
1988-06-25,689.68,689.68,682.61,683.7,"4,628,000"
1988-06-24,689.9,693.25,689.9,690.15,"8,976,000"
1988-06-23,694.15,694.15,684.31,689.96,"8,376,000"
1988-06-22,701.45,701.45,694.33,694.33,"6,556,000"
1988-06-21,703.6,703.6,701.32,701.33,"8,767,000"
1988-06-20,712.1,712.1,703.55,703.71,"7,948,000"
1988-06-18,708.79,714.39,708.79,712.33,"8,360,000"
1988-06-17,703.16,708.71,703.16,708.38,"9,741,000"
1988-06-16,707.59,707.59,698.63,702.74,"9,586,000"
1988-06-15,714.39,717.38,707.99,707.99,"9,059,000"
1988-06-14,725.92,725.92,714.13,714.36,"7,594,000"
1988-06-13,726.51,730.91,726.47,726.47,"9,671,000"
1988-06-11,730.59,730.59,723.15,726.27,"7,527,000"
1988-06-10,738.3,742.09,731.33,731.33,"13,645,000"
1988-06-09,732.22,737.83,732.22,737.83,"13,771,000"
1988-06-08,733.05,735.43,731.99,731.99,"14,845,000"
1988-06-07,728.77,733.6,728.77,733.12,"13,702,000"
1988-06-04,729.64,729.64,727.79,728.28,"7,967,000"
1988-06-03,723.04,731.68,723.04,729.67,"15,600,000"
1988-06-02,723.36,723.36,720.21,722.7,"12,908,000"
1988-06-01,717.53,726.51,717.53,723.5,"15,389,000"
1988-05-31,716.68,717.35,715.03,717.35,"13,960,000"
1988-05-30,717.18,720.59,716.89,716.89,"14,171,000"
1988-05-28,713.66,717.56,713.66,716.79,"10,988,000"
1988-05-27,716.74,716.74,710.57,713.12,"12,904,000"
1988-05-26,704.08,718.01,704.08,716.85,"15,580,000"
1988-05-25,705.51,705.58,703.29,703.54,"14,189,000"
1988-05-24,698.32,705.71,698.32,705.51,"15,173,000"
1988-05-21,691.93,698.76,691.93,698.29,"11,586,000"
1988-05-20,678.85,691.58,678.85,691.58,"17,909,000"
1988-05-19,678.9,681,678.01,678.24,"14,229,000"
1988-05-18,670.31,678.9,670.31,678.77,"15,525,000"
1988-05-17,659.29,670.31,659.29,670.31,"14,794,000"
1988-05-16,657.4,658.65,653.85,658.65,"9,935,000"
1988-05-14,655.62,659.02,655.62,657.57,"8,415,000"
1988-05-13,650.73,655.51,650.73,655.51,"11,729,000"
1988-05-12,636.98,650.66,636.98,650.66,"10,245,000"
1988-05-11,634.24,636.7,634.24,636.68,"6,800,000"
1988-05-10,635.52,635.52,629.99,634.05,"5,568,000"
1988-05-09,639.99,640.86,635.47,635.47,"5,223,000"
1988-05-07,639.37,639.77,636.99,639.77,"3,763,000"
1988-05-06,645.7,645.7,639.76,639.77,"7,078,000"
1988-05-04,649.14,649.55,645.67,645.69,"8,206,000"
1988-05-03,650.29,652.94,648.34,648.52,"9,739,000"
1988-05-02,647.23,650.03,647.23,650.03,"8,748,000"
1988-04-30,649.72,650.96,647.15,647.18,"6,217,000"
1988-04-29,634.28,656.42,634.28,649.88,"10,826,000"
1988-04-28,617.74,633.24,610.24,633.24,"5,481,000"
1988-04-27,642.47,642.47,618.73,618.73,"4,093,000"
1988-04-25,642,644.89,641.48,644.7,"7,528,000"
1988-04-23,631.05,641.83,631.05,641.83,"4,540,000"
1988-04-22,627.8,633.24,627.8,630.67,"6,893,000"
1988-04-21,637.23,637.23,627.92,627.92,"4,764,000"
1988-04-20,632.59,638.99,632.59,637.4,"6,728,000"
1988-04-19,635.25,635.25,631.94,632.54,"5,372,000"
1988-04-18,645.13,645.13,633.08,635.28,"4,569,000"
1988-04-16,645.66,646.62,645.38,645.38,"3,220,000"
1988-04-15,646.03,646.03,643.37,645.53,"3,659,000"
1988-04-14,650.11,654.75,646.14,646.14,"4,958,000"
1988-04-13,640.89,649.72,640.89,649.72,"6,430,000"
1988-04-12,640.84,640.84,637.03,640.39,"5,998,000"
1988-04-11,648.69,648.69,640.94,641.05,"4,877,000"
1988-04-09,648.93,648.93,648.35,648.71,"4,345,000"
1988-04-08,653.36,654.11,648.19,648.19,"8,774,000"
1988-04-07,655.98,659.36,653.63,653.66,"10,141,000"
1988-04-06,658.9,659.25,656.24,656.26,"10,243,000"
1988-04-04,655.84,663.56,655.84,658.66,"8,965,000"
1988-04-02,654.3,655.54,653.33,655.54,"5,368,000"
1988-04-01,656.59,663.18,654.32,654.32,"10,338,000"
1988-03-31,644.88,656.47,644.88,656.47,"10,243,000"
1988-03-30,638.74,644.8,638.18,644.75,"7,369,000"
1988-03-29,631.29,638.59,631.29,638.59,"7,739,000"
1988-03-28,634.33,635.19,630.4,631.03,"5,836,000"
1988-03-26,632.39,635.18,632.39,634.2,"5,907,000"
1988-03-25,625.62,632.36,625.62,632.36,"7,506,000"
1988-03-24,623.61,625.44,616.11,625.42,"5,659,000"
1988-03-23,622.82,629.66,622.82,623.78,"6,113,000"
1988-03-22,638.82,638.82,622.64,622.79,"6,368,000"
1988-03-21,636.77,640.01,636.77,638.81,"7,105,000"
1988-03-19,636.76,637.48,636.22,636.79,"5,347,000"
1988-03-18,632.25,637.29,632.25,636.72,"8,948,000"
1988-03-17,627.6,632.16,627.6,632.16,"7,589,000"
1988-03-16,625.22,628.83,625.22,627.49,"8,143,000"
1988-03-15,612.2,625.17,612.2,625.17,"6,758,000"
1988-03-14,610.35,612.21,609.56,612.21,"6,162,000"
1988-03-12,608.62,610.33,606.85,610.33,"4,262,000"
1988-03-11,612.04,615.38,608.78,608.78,"6,808,000"
1988-03-09,603.33,612.01,603.33,611.88,"7,192,000"
1988-03-08,614.3,614.3,601.82,603.41,"4,958,000"
1988-03-07,618.42,618.42,614.52,614.7,"4,977,000"
1988-03-05,615.85,618.42,615.82,618.42,"3,902,000"
1988-03-04,612.9,615.95,605.83,615.95,"6,517,000"
