,year,metro,id,sex,old_h,grand_h,single_h,multi_h,age,number,education,marriage,asset,debt,income,income_d,industry,job,house,education_year
1327,2021,G2,52700361,2,G1,G2,G2,G2,85,1,1,3,920,0,865,663,O,9,1,0
1328,2021,G2,52700381,1,G2,G2,G2,G2,54,3,4,2,59223,2510,9680,8679,A,6,1,9
1329,2021,G2,52800201,1,G1,G2,G2,G2,80,2,4,2,25244,0,2609,2533,,,1,9
1330,2021,G2,52800231,2,G2,G2,G2,G2,28,1,7,1,18340,0,1888,1322,M,2,1,16
1331,2021,G2,52800271,2,G1,G2,G2,G2,68,1,4,3,87200,117,2522,2356,,,1,9
1332,2021,G2,52800291,1,G1,G2,G2,G2,68,2,3,2,38456,1200,2032,1902,,,1,6
1333,2021,G2,52800301,1,G2,G2,G2,G2,49,4,4,2,32890,10084,8939,7572,H,8,3,9
1334,2021,G2,52800311,1,G2,G2,G2,G2,46,3,4,2,21076,4689,9083,7657,H,8,1,9
1335,2021,G2,52800321,1,G1,G2,G2,G2,82,2,2,2,196740,0,2756,2603,A,6,1,0
1336,2021,G2,52800331,2,G1,G2,G2,G2,86,1,1,3,3300,0,943,892,,,5,0
1337,2021,G2,52800341,1,G2,G2,G2,G2,36,5,4,2,1958,1300,4781,4326,C,9,3,9
1338,2021,G2,52800361,1,G1,G2,G2,G2,77,2,4,2,8447,0,2650,2596,,,1,9
1339,2021,G2,52800371,2,G1,G2,G2,G2,76,1,1,3,20,0,1057,1056,,,4,0
1340,2021,G2,52900201,1,G2,G2,G2,G2,41,4,5,2,29460,12000,5884,4696,G,7,2,12
1341,2021,G2,52900231,1,G2,G2,G2,G2,39,2,5,2,17579,3700,10088,8548,C,5,2,12
1342,2021,G2,52900271,2,G2,G2,G2,G2,58,2,5,4,28210,8370,4412,3645,G,5,1,12
1343,2021,G2,52900281,2,G2,G2,G2,G2,53,1,4,4,18125,7400,1409,939,S,4,1,9
1344,2021,G2,52900291,1,G2,G2,G2,G2,43,2,4,1,3011,3070,2053,1547,H,8,3,9
1345,2021,G2,52900301,1,G1,G2,G2,G2,71,2,6,2,14980,1700,4793,4464,N,9,1,14
1346,2021,G2,52900321,1,G1,G2,G2,G2,71,2,3,2,7870,300,1934,1877,S,7,1,6
1347,2021,G2,52900331,2,G2,G2,G2,G2,43,4,5,2,14070,0,3543,3172,S,4,1,12
1348,2021,G2,52900351,1,G2,G2,G2,G2,46,3,4,4,12653,0,5200,4903,S,7,1,9
1349,2021,G2,52900361,1,G1,G2,G2,G2,66,1,2,4,10950,5000,1988,1564,A,6,3,0
1350,2021,G2,52900371,2,G2,G2,G2,G2,58,4,2,3,16200,0,7847,7388,A,6,1,0
1351,2021,G2,53000202,1,G1,G2,G2,G2,66,2,5,2,212055,0,9199,8390,R,9,2,12
1352,2021,G2,53000212,1,G1,G2,G2,G2,69,2,2,2,41881,6200,2787,2506,G,5,1,0
1353,2021,G2,53000222,1,G2,G2,G2,G2,61,3,2,2,26780,15300,8775,8147,,,1,0
1354,2021,G2,53100202,1,G2,G2,G2,G2,47,5,6,2,79050,0,33506,24804,G,5,1,14
1355,2021,G2,53100212,1,G2,G2,G2,G2,39,5,6,2,16372,160,9317,8795,I,4,3,14
1356,2021,G2,53100232,1,G2,G2,G2,G2,34,1,4,1,4992,20,4392,3401,F,8,3,9
1357,2021,G2,53100242,1,G1,G2,G2,G2,84,2,8,2,44390,3000,2170,2117,,,1,18
1358,2021,G2,53100252,2,G2,G2,G2,G2,23,1,6,1,628,0,1704,1684,P,2,3,14
1359,2021,G2,53100312,1,G2,G2,G2,G1,36,5,5,2,24600,20700,9612,8923,A,6,1,12
1360,2021,G2,60000212,1,G2,G2,G2,G2,49,3,6,2,61830,0,41044,28952,O,3,1,14
1361,2021,G2,60000222,1,G2,G2,G2,G2,50,4,3,2,32020,0,12421,8549,C,7,1,6
1362,2021,G2,60000232,1,G2,G2,G2,G2,53,2,6,2,86126,0,14881,11870,H,3,1,14
1363,2021,G2,60000252,1,G2,G2,G2,G2,52,5,4,2,51640,0,19440,15855,C,8,1,9
1364,2021,G2,60000282,2,G2,G2,G2,G2,56,1,3,4,289900,150000,9484,2398,I,4,1,6
1365,2021,G2,60000292,1,G2,G2,G2,G2,57,4,6,2,37240,9840,6785,5795,H,8,2,14
1366,2021,G2,60000332,1,G2,G2,G2,G2,68,3,4,2,4662,1000,2307,2226,,,3,9
1367,2021,G2,60000352,2,G2,G2,G2,G2,63,1,4,3,53540,2000,4900,4452,,,1,9
1368,2021,G2,60000362,1,G2,G2,G2,G2,58,2,6,2,98350,0,11564,8432,,,1,14
1369,2021,G2,60000382,1,G2,G2,G2,G2,69,3,3,2,57412,5496,17101,15046,L,9,1,6
1370,2021,G2,60000392,1,G2,G2,G2,G2,60,2,6,2,486445,11000,26781,14896,F,1,1,14
1371,2021,G2,60100212,2,G2,G2,G2,G2,65,2,4,3,5210,0,2262,2156,I,4,1,9
1372,2021,G2,60100222,1,G2,G2,G2,G2,48,2,4,1,1420,0,3433,3226,F,7,3,9
1373,2021,G2,60100232,1,G2,G2,G2,G2,30,1,4,1,797,280,2343,2071,C,9,5,9
1374,2021,G2,60100242,2,G2,G2,G2,G2,62,1,3,3,12900,0,1335,1273,Q,4,1,6
