종목코드,종목명,결산월,회계연도,자산총계,부채총계,자본총계,자본금,이익잉여금,매출액,영업이익,당기순이익,배당금,EPS,BPS,SPS,CEPS
A005380,현대차,12,2022,2.55742E+11,1.64846E+11,90896545000,1488993000,79953601000,1.42528E+11,9819769000,7983614000,-1354996000,26592,315142,514653,47055
A005380,현대차,12,2023,2.82463E+11,1.80654E+11,1.01809E+11,1488993000,88665805000,1.62664E+11,15126901000,12272301000,-2499050000,43589,351861,592754,62746
A005380,현대차,12,2024,3.39798E+11,2.19522E+11,1.20276E+11,1488993000,96595668000,1.75231E+11,14239592000,13229908000,-3913280000,46042,413568,644061,64383
A005380,현대차,12,2025,3.68845E+11,2.41197E+11,1.27648E+11,1488993000,1.01312E+11,1.86254E+11,11467851000,10364775000,-3688866000,35331,439541,696647,57530
A373220,LG에너지솔루션,12,2000,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2001,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2002,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2003,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2004,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2005,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2006,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2007,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2008,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2009,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2010,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2011,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2012,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2013,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2014,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2015,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2016,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2017,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2018,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2019,,,,,,,,,,,,,
A373220,LG에너지솔루션,12,2020,19941795000,12376390000,7565405000,100000000,-453058000,1461068000,-475206000,-451771000,,-2278,34398,7305,-1681
